id,titulo,descripcion,tecnica,medidas,anio,imagenes,orden,created_at,categoria,serie,price,is_available,show_price
38,La otra cuidad,sin marco,Óleo sobre papel escenográfico,"83,5 x 113,5 cm",2017,"[{""name"":""undefined"",""path"":""images/la-otra-cuidad-1759114326863-IMG20250928213634793HDR.jpg""},{""name"":""undefined"",""path"":""images/la-otra-cuidad-1759114322546-IMG20250928213614208HDR2.jpg""},{""name"":""undefined"",""path"":""images/la-otra-cuidad-1759114332170-IMG20250928213623829HDR.jpg""}]",56,2025-09-29 02:52:17.98163+00,pintura,urbano,200000,true,true
43,"Playa Union ",Enmarcado en madera 4 cm de profundidad,acrilico sobre madera,"31,5 x 21,5 cm",2025,"[{""name"":""playa union escollera.jpg"",""path"":""obras/43_1760022732188.jpg""},{""name"":""Artboard 1.jpg"",""path"":""obras/43_1760022732185.jpg""}]",5,2025-10-09 15:12:12.185353+00,pintura,paisajes,200000,true,true
44,espinas en las manos,"Enmarcado en madera de 3 cm de profundidad
","mixta de pintura, grabado y collage",35 x 50 cm,2025,"[{""name"":""espinas en las manos 2.jpg"",""path"":""obras/44_1760022924613.jpg""},{""name"":""espinas en las manos.jpg"",""path"":""obras/44_1760022924613.jpg""}]",9,2025-10-09 15:15:24.72586+00,pintura,paisajes,250000,true,true
45,paisaje circular,"monocopia 1/1
parte impresa 34 x 34 cm",grabado,42 x 46 cm,2025,"[{""name"":""grabado circulo.jpg"",""path"":""obras/45_1760025073553.jpg""}]",14,2025-10-09 15:51:13.623224+00,grabado,paisajes,30000,true,true
46,Niño de Moreira,"obra en papel, sin marco",acrilico sobre papel,100 x 70 cm,2014,"[{""name"":""niño de moreira.jpg"",""path"":""obras/46_1760044958546.jpg""}]",57,2025-10-09 21:22:39.100441+00,pintura,urbano,450000,true,false
47,Asentamiento,,acrilico sobre madera,110 x 74 cm,2014,"[{""name"":""asentamiento.jpg"",""path"":""obras/47_1760045475511.jpg""}]",58,2025-10-09 21:31:16.182523+00,pintura,urbano,,false,false
48,Guanaco,,oleo sobre papel,35 x 50 cm,2015,"[{""name"":""guanaco.jpg"",""path"":""obras/48_1760045674190.jpg""}]",59,2025-10-09 21:34:34.924074+00,pintura,detrás del alambrado,,false,false
49,"paisaje ",,acrilico y tiza pastel sobre tela,,2015,"[{""name"":""detras del alambrado paisaje.jpg"",""path"":""obras/49_1760047046672.jpg""}]",60,2025-10-09 21:57:27.191851+00,pintura,detrás del alambrado,,false,false
50,Alambrando,retrato imaginario de mi abuelo,tinta y grafito sobre papel martillado,,2015,"[{""name"":""abuelo alambrado.jpg"",""path"":""obras/50_1760047113492.jpg""}]",61,2025-10-09 21:58:34.070725+00,dibujo,detrás del alambrado,,false,false
51,"Valle fantasía ",,"Acrílico sobre madera ",61 x 42 cm,2025,"[{""name"":""IMG_20251015_191151214_HDR~2.jpg"",""path"":""obras/51_1760921519904.jpg""},{""name"":""IMG_20251015_191421049_HDR~2.jpg"",""path"":""obras/51_1760921730519.jpg""},{""name"":""IMG_20251015_191415912_HDR~2.jpg"",""path"":""obras/51_1760921730520.jpg""}]",15,2025-10-20 00:52:00.275539+00,pintura,paisajes,350000,false,true
52,Valle fertil,,Oleo sobre madera,"31,5 x 21,5 cm",2023,"[{""name"":""20240918_101121~2.jpg"",""path"":""obras/52_1760922569855.jpg""}]",53,2025-10-20 01:09:30.192368+00,pintura,paisajes,,false,false
